goodBet,betStrength,oddsCalculated,oddsSkyBet,time,title
True,1.0008150051184577,1.2846672753093933,1.2857142857142856,19:45,Leicester vs Manchester City
True,1.093282005539646,1.1760133974579183,1.2857142857142856,19:45,Middlesbrough vs Burton
False,0.9370608061314004,1.4940332482582601,1.4,19:30,Fortuna Dusseldorf vs Dortmund
True,1.098330781369014,1.1706075323790048,1.2857142857142856,19:30,Hertha Berlin vs Augsburg
False,0.970465001643115,1.3248435374149663,1.2857142857142856,19:30,Wolfsburg vs Stuttgart
False,0.8814669532005143,1.4586074736505907,1.2857142857142856,19:45,Blackpool vs Solihull
True,1.0697729704029477,1.2746969696969699,1.3636363636363638,19:30,Bologna vs AC Milan
True,1.0069883939062851,1.3240801397532485,1.3333333333333333,19:45,Aberdeen vs Dundee
False,0.9523767676545761,1.4000061515748028,1.3333333333333333,20:00,Orleans vs Paris St Germain
True,1.0331629620824914,1.2905353581837704,1.3333333333333333,19:45,Halifax vs Boreham Wood
